idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,3.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.6474591574088732,66.66666666666666,5.0,5.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
3,What systematic review framework does the paper's methodolog,direct_fact,0.125,0.31546487678572877,100.0,5.0,4.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
4,How many studies make up the final corpus of the survey?,numerical,1.0,0.9618199605238291,100.0,5.0,3.0,3.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
5,How many records were identified through database searching ,numerical,0.5,0.5,50.0,5.0,5.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
6,How many records remained after duplicates were removed?,numerical,0.16666666666666666,0.25,50.0,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
7,How many studies were excluded during title and abstract scr,numerical,0.5666666666666667,0.6288070135325141,100.0,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
8,How many articles were confirmed eligible after full-text as,numerical,0.6666666666666666,0.5843238849793789,66.66666666666666,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.9891559944963898,100.0,5.0,3.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
11,"In what year did the Transformer architecture emerge, accord",temporal,1.0,1.0,100.0,5.0,4.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
12,What time period does the paper assign to the Agentic AI Era,temporal,0.75,0.8154648767857288,100.0,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
13,What publication date range did the review's inclusion crite,temporal,0.3333333333333333,0.5,100.0,5.0,3.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
14,What five historical eras of AI does the paper's timeline ch,temporal,0.15666666666666668,0.26569707185582997,60.0,4.0,5.0,3.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.8333333333333334,0.8670219634343832,100.0,5.0,5.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
16,How do coordination mechanisms differ between the symbolic a,spanning,0.16666666666666666,0.25,50.0,5.0,5.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
17,How does the paper connect the choice of architectural parad,spanning,0.5833333333333334,0.6621397167354266,100.0,5.0,5.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
18,How does the paper contrast MDPs and POMDPs?,comparative,0.611111111111111,0.721190206528787,100.0,5.0,5.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
19,How does transparency and explainability differ between the ,comparative,1.0,1.0,100.0,5.0,5.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
20,How does the paper compare the flexibility and verifiability,comparative,0.125,0.15851248637770085,25.0,5.0,5.0,4.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
21,What are the two cognitive architectures the paper identifie,direct_fact,1.0,0.8246031897888981,100.0,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
22,"What primary mechanism does CrewAI use, and where is it appl",relationship,0.75,0.7379724363153749,100.0,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
23,Which framework is associated with Retrieval-Augmented Gener,relationship,0.25,0.31546487678572877,50.0,3.0,2.0,3.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
24,What real-world hybrid example does the paper give for robot,relationship,0.5,0.6309297535714575,100.0,5.0,5.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
25,What company's product is given as the example of neural/orc,direct_fact,0.25,0.43067655807339306,100.0,5.0,4.0,3.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
26,What system is cited as the example of the symbolic/determin,direct_fact,0.75,0.8154648767857288,100.0,5.0,4.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
27,What two benchmarks does the paper mention for evaluating ag,direct_fact,1.0,0.8772153153380493,100.0,4.0,3.0,5.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
28,What are the three levels of agency proposed in the paper's ,holistic,1.0,1.0,100.0,3.0,3.0,3.0,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_14-35-00
