idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.8333333333333334,0.8746835066679459,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
3,What systematic review framework does the paper's methodolog,direct_fact,0.25,0.46845052016107697,100.0,5.0,4.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
4,How many studies make up the final corpus of the survey?,numerical,1.0,0.9089007090482872,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
5,How many records were identified through database searching ,numerical,0.25,0.31546487678572877,50.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
6,How many records remained after duplicates were removed?,numerical,0.5,0.5,50.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.9570261813334456,100.0,5.0,3.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
8,How many articles were confirmed eligible after full-text as,numerical,0.6666666666666666,0.6058431967846482,66.66666666666666,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.8526518316431985,100.0,5.0,3.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
11,"In what year did the Transformer architecture emerge, accord",temporal,1.0,1.0,100.0,5.0,4.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
12,What time period does the paper assign to the Agentic AI Era,temporal,0.625,0.6539459367057212,100.0,5.0,5.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
13,What publication date range did the review's inclusion crite,temporal,0.3333333333333333,0.5,100.0,5.0,3.0,5.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
14,What five historical eras of AI does the paper's timeline ch,temporal,0.1,0.1160558421703625,20.0,3.0,3.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.5,0.6244852899732027,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
16,How do coordination mechanisms differ between the symbolic a,spanning,0.05,0.09671320180863541,25.0,5.0,4.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
17,How does the paper connect the choice of architectural parad,spanning,0.375,0.5995049192906504,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
18,How does the paper contrast MDPs and POMDPs?,comparative,0.7777777777777778,0.8333333333333334,100.0,5.0,5.0,4.0,e5-base-v2,Mistral-Large-3,research_papers,,2026-07-10_15-45-09
