idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,0.2,0.38685280723454163,100.0,5.0,5.0,4.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,0.14285714285714285,0.3333333333333333,100.0,5.0,5.0,5.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.6141765055592732,66.66666666666666,5.0,5.0,4.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
3,What systematic review framework does the paper's methodolog,direct_fact,0.0,0.0,0.0,4.0,4.0,4.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
4,How many studies make up the final corpus of the survey?,numerical,0.3333333333333333,0.2924051051126831,33.33333333333333,1.0,2.0,5.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
5,How many records were identified through database searching ,numerical,0.5,0.5,50.0,5.0,5.0,4.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
6,How many records remained after duplicates were removed?,numerical,0.5,0.5,50.0,5.0,5.0,5.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.9686751451782274,100.0,5.0,5.0,4.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
8,How many articles were confirmed eligible after full-text as,numerical,0.3333333333333333,0.420619835714305,66.66666666666666,5.0,5.0,5.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
9,How many seminal symbolic-paradigm papers were added in the ,numerical,0.5,0.7065604759041109,100.0,5.0,3.0,5.0,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-06-55
