idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1.0,1.0,100.0,5.0,5.0,4.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.6666666666666666,0.6463147133608111,66.66666666666666,5.0,5.0,4.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
3,What systematic review framework does the paper's methodolog,direct_fact,0.3333333333333333,0.5,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
4,How many studies make up the final corpus of the survey?,numerical,0.5,0.6243619627338726,100.0,5.0,5.0,4.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
5,How many records were identified through database searching ,numerical,0.5,0.5,50.0,5.0,3.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
6,How many records remained after duplicates were removed?,numerical,0.5,0.5,50.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
7,How many studies were excluded during title and abstract scr,numerical,1.0,0.9532469625287744,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
8,How many articles were confirmed eligible after full-text as,numerical,0.6666666666666666,0.6058431967846482,66.66666666666666,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.9891559944963898,100.0,5.0,3.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
11,"In what year did the Transformer architecture emerge, accord",temporal,1.0,1.0,100.0,5.0,4.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
12,What time period does the paper assign to the Agentic AI Era,temporal,1.0,0.9032867981913646,100.0,5.0,5.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
13,What publication date range did the review's inclusion crite,temporal,0.5,0.6309297535714575,100.0,5.0,4.0,5.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
14,What five historical eras of AI does the paper's timeline ch,temporal,0.16666666666666666,0.2261859507142915,40.0,3.0,3.0,3.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.8333333333333334,0.8251338864706471,100.0,5.0,5.0,4.0,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-11_15-11-19
