idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,1,1,100,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,1,1,100,5,5,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.703703704,0.706756181,100,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
3,What systematic review framework does the paper's methodolog,direct_fact,1,0.850344906,100,5,4,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
4,How many studies make up the final corpus of the survey?,numerical,0.251322751,0.472374715,100,1,1,2,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
5,How many records were identified through database searching ,numerical,0.5,0.5,50,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
6,How many records remained after duplicates were removed?,numerical,0.083333333,0.178103594,50,1,2,2,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
7,How many studies were excluded during title and abstract scr,numerical,0.537037037,0.579403039,100,3,1,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
8,How many articles were confirmed eligible after full-text as,numerical,0.092592593,0.234671043,66.66666667,1,1,1,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1,0.973240263,100,5,3,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
10,How many elements make up the tuple that formally defines a ,numerical,1,1,100,5,5,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
11,"In what year did the Transformer architecture emerge, accord",temporal,1,1,100,5,4,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
12,What time period does the paper assign to the Agentic AI Era,temporal,0.6,0.618598856,100,5,5,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
13,What publication date range did the review's inclusion crite,temporal,0.166666667,0.356207187,100,4,3,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
14,What five historical eras of AI does the paper's timeline ch,temporal,0.266666667,0.270068981,40,3,3,3,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.5,0.627321957,100,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
16,How do coordination mechanisms differ between the symbolic a,spanning,0.03125,0.078866219,25,5,4,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
17,How does the paper connect the choice of architectural parad,spanning,0.625,0.682860689,100,4,4,3,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
18,How does the paper contrast MDPs and POMDPs?,comparative,0.833333333,0.876976585,100,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
19,How does transparency and explainability differ between the ,comparative,0,0,0,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
20,How does the paper compare the flexibility and verifiability,comparative,0.208333333,0.353029594,75,4,4,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
21,What are the two cognitive architectures the paper identifie,direct_fact,0.5,0.597510924,100,5,5,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
22,"What primary mechanism does CrewAI use, and where is it appl",relationship,0.833333333,0.845852454,100,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
23,Which framework is associated with Retrieval-Augmented Gener,relationship,0.25,0.315464877,50,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
24,What real-world hybrid example does the paper give for robot,relationship,0,0,0,2,2,3,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
25,What company's product is given as the example of neural/orc,direct_fact,0.111111111,0.301029996,100,1,1,1,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
26,What system is cited as the example of the symbolic/determin,direct_fact,1,1,100,5,5,5,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
27,What two benchmarks does the paper mention for evaluating ag,direct_fact,0.1,0.289064826,100,1,1,1,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
28,What are the three levels of agency proposed in the paper's ,holistic,1,1,100,3,3,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
29,What is the central argument the paper makes about the futur,holistic,0.666666667,0.598800388,66.66666667,5,5,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
30,"What does the paper describe as the 'attribution gap,' and w",relationship,0.5,0.63192822,100,5,4,4,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
31,How do the paper's identified research gaps in Long-term Aut,comparative,0,0,0,1,1,1,bge-small-en-v1.5,Mistral-Large-3,research_papers,,2026-07-10_16-20-20
