idx,question,category,mrr,ndcg,coverage_%,accuracy,completeness,relevance,embedding_model,llm_model,chroma_collection,note,timestamp
0,Who are the authors of the Agentic AI survey paper?,direct_fact,0.0,0.0,0.0,1.0,1.0,1.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
1,Which institutions is Fadi Dornaika affiliated with?,direct_fact,0.0,0.0,0.0,1.0,1.0,1.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
2,What is 'conceptual retrofitting' as described in the paper?,direct_fact,0.1111111111111111,0.23747145807201478,66.66666666666666,4.0,4.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
3,What systematic review framework does the paper's methodolog,direct_fact,0.16666666666666666,0.3562071871080222,100.0,5.0,4.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
4,How many studies make up the final corpus of the survey?,numerical,0.3333333333333333,0.2834483018449182,33.33333333333333,1.0,2.0,3.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
5,How many records were identified through database searching ,numerical,0.5,0.5,50.0,5.0,5.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
6,How many records remained after duplicates were removed?,numerical,0.25,0.31546487678572877,50.0,5.0,5.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
7,How many studies were excluded during title and abstract scr,numerical,0.6666666666666666,0.7810642733620178,100.0,5.0,3.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
8,How many articles were confirmed eligible after full-text as,numerical,0.3333333333333333,0.40738831946482845,66.66666666666666,5.0,5.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
9,How many seminal symbolic-paradigm papers were added in the ,numerical,1.0,0.894409942105575,100.0,5.0,3.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
10,How many elements make up the tuple that formally defines a ,numerical,1.0,1.0,100.0,5.0,5.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
11,"In what year did the Transformer architecture emerge, accord",temporal,0.5,0.6309297535714575,100.0,5.0,4.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
12,What time period does the paper assign to the Agentic AI Era,temporal,0.25,0.31546487678572877,50.0,1.0,1.0,2.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
13,What publication date range did the review's inclusion crite,temporal,0.3333333333333333,0.5,100.0,5.0,3.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
14,What five historical eras of AI does the paper's timeline ch,temporal,0.11666666666666665,0.1861353116146786,40.0,2.0,2.0,3.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
15,How does the paper distinguish an AI Agent from Agentic AI a,spanning,0.8333333333333334,0.8769765845238192,100.0,5.0,5.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
16,How do coordination mechanisms differ between the symbolic a,spanning,0.03125,0.09266642260032965,25.0,5.0,4.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
17,How does the paper connect the choice of architectural parad,spanning,0.5,0.4875565662081995,50.0,5.0,4.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
18,How does the paper contrast MDPs and POMDPs?,comparative,0.611111111111111,0.7190543326033206,100.0,5.0,5.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
19,How does transparency and explainability differ between the ,comparative,0.20000000000000004,0.38685280723454163,100.0,5.0,5.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
20,How does the paper compare the flexibility and verifiability,comparative,0.03125,0.07886621919643219,25.0,5.0,5.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
21,What are the two cognitive architectures the paper identifie,direct_fact,1.0,0.7903864795495061,100.0,5.0,5.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
22,"What primary mechanism does CrewAI use, and where is it appl",relationship,0.6666666666666666,0.6399069297160626,66.66666666666666,4.0,4.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
23,Which framework is associated with Retrieval-Augmented Gener,relationship,0.5,0.5,50.0,5.0,5.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
24,What real-world hybrid example does the paper give for robot,relationship,1.0,1.0,100.0,5.0,5.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
25,What company's product is given as the example of neural/orc,direct_fact,0.3333333333333333,0.5,100.0,5.0,4.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
26,What system is cited as the example of the symbolic/determin,direct_fact,1.0,1.0,100.0,5.0,5.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
27,What two benchmarks does the paper mention for evaluating ag,direct_fact,1.0,1.0,100.0,5.0,3.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
28,What are the three levels of agency proposed in the paper's ,holistic,1.0,1.0,100.0,4.0,2.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
29,What is the central argument the paper makes about the futur,holistic,0.0,0.0,0.0,5.0,4.0,5.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
30,"What does the paper describe as the 'attribution gap,' and w",relationship,1.0,0.8757628521756965,100.0,5.0,5.0,4.0,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",2026-07-10_21-23-46
